,log_no,date,time
0,6015,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
1,7547,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
2,18876,2009-05-17 00:01:59,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
3,20408,2009-05-17 18:09:45,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
4,26229,2009-05-20 15:42:13,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
5,32237,2009-05-23 15:12:37,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
6,34663,2009-05-24 20:17:51,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
7,34787,2009-05-24 20:58:46,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
8,40112,2009-05-27 12:57:10,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
9,40430,2009-05-27 15:27:53,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
10,43389,2009-05-30 12:55:06,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
11,44041,2009-05-30 19:27:45,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
12,44111,2009-05-30 19:42:51,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
13,44167,2009-05-30 19:46:41,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
14,44246,2009-05-30 19:50:03,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
15,45528,2009-05-31 10:02:01,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
16,45707,2009-05-31 11:21:13,chassisd[]: %DAEMON--JAM: Plugin installed for ferrari_pic_xqsfpp PIC.
