Distance,Value
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
0.00020606318139471114,ifinfo USER IFINFO_IFD_NAME IFD xe
